"FBO-Objekt","ICAO","Bezeichnung","KS","Mietpreis","Mietbeginn","Letzte Mietzahlung","Nächste Mietzahlung","Konto"
"Passenger Terminal 250 Pax","LYTV","Lufthamster Terminal Tivat 250","0","320.000 €","19.08.2022","18.10.2022","17.11.2022","600-2665153 - Lufthamster"
"Business Lounge","LYTV","Business Lounge","0","60.000 €","28.07.2022","26.10.2022","25.11.2022","600-2665153 - Lufthamster"
"FBO","LYTV","FBO","0","25.000 €","28.07.2022","26.10.2022","25.11.2022","600-2665153 - Lufthamster"
"Fuel Station 750000kg","OEDF","Lufthamster Fuel Station OEDF","0","75.000 €","05.09.2022","05.10.2022","04.11.2022","600-2665153 - Lufthamster"
"Passenger Terminal 400 Pax","OEDF","Lufthamster Terminal Dammam 400","0","576.000 €","18.08.2022","17.10.2022","16.11.2022","600-2665153 - Lufthamster"
"Business Lounge","OEDF","Business Lounge","0","60.000 €","18.08.2022","17.10.2022","16.11.2022","600-2665153 - Lufthamster"
"FBO","OEDF","FBO","0","25.000 €","18.08.2022","17.10.2022","16.11.2022","600-2665153 - Lufthamster"
"Business Lounge","VABB","Business Lounge","0","80.000 €","20.09.2022","20.10.2022","19.11.2022","600-2665153 - Lufthamster"
"Fuel Station 750000kg","VABB","Lufthamster Fuel Station VABB","0","75.000 €","20.09.2022","20.10.2022","19.11.2022","600-2665153 - Lufthamster"
"Passenger Terminal 400 Pax","VABB","Lufthamster Terminal Mumbai 400","0","1.296.000 €","20.09.2022","20.10.2022","19.11.2022","600-2665153 - Lufthamster"
"FBO","VABB","FBO","0","35.000 €","20.09.2022","20.10.2022","19.11.2022","600-2665153 - Lufthamster"
"FBO","VNKT","FBO","0","30.000 €","20.09.2022","20.10.2022","19.11.2022","600-2665153 - Lufthamster"
"Business Lounge","VNKT","Business Lounge","0","70.000 €","20.09.2022","20.10.2022","19.11.2022","600-2665153 - Lufthamster"
"Fuel Station 750000kg","VNKT","Lufthamster Fuel Station VNKT","0","75.000 €","06.10.2022","06.10.2022","05.11.2022","600-2665153 - Lufthamster"
"Passenger Terminal 400 Pax","VNKT","Lufthamster Terminal Nepal 400","0","864.000 €","20.09.2022","20.10.2022","19.11.2022","600-2665153 - Lufthamster"
